,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
,AMZN,GOOGL,MSFT,AMZN,GOOGL,MSFT,AMZN,GOOGL,MSFT,AMZN,GOOGL,MSFT,AMZN,GOOGL,MSFT,AMZN,GOOGL,MSFT
Date,,,,,,,,,,,,,,,,,,
2020-01-02,94.90049743652344,68.43399810791016,155.09365844726562,94.90049743652344,68.43399810791016,160.6199951171875,94.90049743652344,68.43399810791016,160.72999572753906,93.2074966430664,67.32450103759766,158.3300018310547,93.75,67.42050170898438,158.77999877929688,80580000,27278000,22622100
2020-01-03,93.74849700927734,68.07599639892578,153.16246032714844,93.74849700927734,68.07599639892578,158.6199951171875,94.30999755859375,68.6875,159.9499969482422,93.2249984741211,67.36599731445312,158.05999755859375,93.2249984741211,67.4000015258789,158.32000732421875,75288000,23408000,21116200
2020-01-06,95.14399719238281,69.8905029296875,153.55838012695312,95.14399719238281,69.8905029296875,159.02999877929688,95.18450164794922,69.91600036621094,159.10000610351562,93.0,67.55000305175781,156.50999450683594,93.0,67.58149719238281,157.0800018310547,81236000,46768000,20813700
2020-01-07,95.34300231933594,69.75550079345703,152.15829467773438,95.34300231933594,69.75550079345703,157.5800018310547,95.69450378417969,70.17500305175781,159.6699981689453,94.60199737548828,69.5780029296875,157.32000732421875,95.2249984741211,70.02300262451172,159.32000732421875,80898000,34330000,21634100
2020-01-08,94.59850311279297,70.25199890136719,154.58192443847656,94.59850311279297,70.25199890136719,160.08999633789062,95.55000305175781,70.59249877929688,160.8000030517578,94.3219985961914,69.63150024414062,157.9499969482422,94.9020004272461,69.74099731445312,158.92999267578125,70160000,35314000,27746500
2020-01-09,95.05249786376953,70.989501953125,156.51309204101562,95.05249786376953,70.989501953125,162.08999633789062,95.89099884033203,71.43399810791016,162.22000122070312,94.79000091552734,70.510498046875,161.02999877929688,95.49449920654297,71.09649658203125,161.83999633789062,63346000,33200000,21385000
2020-01-10,94.15799713134766,71.447998046875,155.78890991210938,94.15799713134766,71.447998046875,161.33999633789062,95.34700012207031,71.74700164794922,163.22000122070312,94.0,70.9800033569336,161.17999267578125,95.26850128173828,71.47350311279297,162.82000732421875,57074000,26258000,20725900
2020-01-13,94.56500244140625,72.00150299072266,157.66213989257812,94.56500244140625,72.00150299072266,163.27999877929688,94.9000015258789,72.0739974975586,163.30999755859375,94.04000091552734,71.26850128173828,161.25999450683594,94.56549835205078,71.76249694824219,161.75999450683594,55616000,30730000,21626500
